match_id,minute,game_version,game_duration,blue_gold,red_gold,gold_diff,blue_xp,red_xp,xp_diff,blue_cs,red_cs,cs_diff,blue_kills,red_kills,kill_diff,blue_towers_destroyed,red_towers_destroyed,tower_diff,blue_dragons,red_dragons,dragon_diff,blue_dragons_to_soul,red_dragons_to_soul,blue_has_soul,red_has_soul,blue_elders,red_elders,blue_heralds,red_heralds,blue_barons,red_barons,blue_inhibs_alive,red_inhibs_alive,blue_nexus_turrets_alive,red_nexus_turrets_alive,blue_win
NA1_5646584801,8,16.18.817.5716,1524,11713,14302,-2589,15552,16863,-1311,238,266,-28,0,4,-4,0,0,0,0,1,-1,4,3,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5646584801,9,16.18.817.5716,1524,13271,16043,-2772,17677,19567,-1890,273,312,-39,0,4,-4,0,0,0,0,1,-1,4,3,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5646584801,10,16.18.817.5716,1524,16332,18233,-1901,20494,21271,-777,306,339,-33,3,6,-3,0,0,0,0,1,-1,4,3,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5646584801,11,16.18.817.5716,1524,18199,19833,-1634,22794,23457,-663,336,377,-41,4,6,-2,0,0,0,0,1,-1,4,3,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5646584801,12,16.18.817.5716,1524,20439,21680,-1241,24926,25417,-491,361,403,-42,5,6,-1,1,0,1,0,1,-1,4,3,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5646584801,13,16.18.817.5716,1524,22644,24492,-1848,27604,27792,-188,378,417,-39,7,9,-2,1,0,1,0,1,-1,4,3,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5646584801,14,16.18.817.5716,1524,25253,26282,-1029,31552,30171,1381,432,456,-24,9,9,0,1,0,1,0,1,-1,4,3,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5646584801,15,16.18.817.5716,1524,27919,28066,-147,35007,32850,2157,467,483,-16,11,10,1,1,0,1,1,1,0,3,3,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5646584801,16,16.18.817.5716,1524,30108,30143,-35,37669,35508,2161,515,528,-13,11,10,1,2,1,1,1,1,0,3,3,0,0,0,0,1,0,0,0,3,3,2,2,1
NA1_5646584801,17,16.18.817.5716,1524,32323,31549,774,41351,37404,3947,562,562,0,12,10,2,2,1,1,1,1,0,3,3,0,0,0,0,1,0,0,0,3,3,2,2,1
NA1_5646584801,18,16.18.817.5716,1524,35970,32770,3200,44168,39283,4885,582,589,-7,15,10,5,4,1,3,1,1,0,3,3,0,0,0,0,1,0,0,0,3,3,2,2,1
NA1_5646584801,19,16.18.817.5716,1524,38177,35389,2788,46839,42385,4454,628,625,3,15,11,4,5,1,4,1,1,0,3,3,0,0,0,0,1,0,0,0,3,3,2,2,1
NA1_5646584801,20,16.18.817.5716,1524,40455,37457,2998,49590,44987,4603,658,666,-8,17,11,6,5,2,3,1,1,0,3,3,0,0,0,0,1,0,0,0,3,3,2,2,1
NA1_5646584801,21,16.18.817.5716,1524,42218,39073,3145,52229,47334,4895,704,706,-2,17,11,6,5,2,3,2,1,1,2,3,0,0,0,0,1,0,0,0,3,3,2,2,1
NA1_5646584801,22,16.18.817.5716,1524,45916,40432,5484,59045,48811,10234,726,728,-2,20,11,9,5,2,3,2,1,1,2,3,0,0,0,0,1,0,1,0,3,3,2,2,1
NA1_5646584801,23,16.18.817.5716,1524,47737,41329,6408,61204,49543,11661,763,736,27,20,11,9,5,2,3,2,1,1,2,3,0,0,0,0,1,0,1,0,3,3,2,2,1
NA1_5646584801,24,16.18.817.5716,1524,52225,42894,9331,65615,50773,14842,786,737,49,25,12,13,7,2,5,2,1,1,2,3,0,0,0,0,1,0,1,0,3,3,2,2,1
NA1_5646584801,25,16.18.817.5716,1524,56102,44322,11780,69336,53088,16248,821,769,52,29,12,17,9,2,7,2,1,1,2,3,0,0,0,0,1,0,1,0,3,2,2,2,1
NA1_5646584801,25,16.18.817.5716,1524,57273,44617,12656,70129,53156,16973,825,771,54,30,12,18,9,2,7,2,1,1,2,3,0,0,0,0,1,0,1,0,3,1,2,0,1
NA1_5645198853,0,16.18.817.5716,1826,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645198853,1,16.18.817.5716,1826,2510,2505,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645198853,2,16.18.817.5716,1826,3909,3834,75,2658,2570,88,43,38,5,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645198853,3,16.18.817.5716,1826,6167,5542,625,5438,4812,626,92,66,26,2,1,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645198853,4,16.18.817.5716,1826,7529,7211,318,7207,6848,359,126,97,29,2,2,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645198853,5,16.18.817.5716,1826,9263,8497,766,9428,8729,699,164,129,35,3,2,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645198853,6,16.18.817.5716,1826,11127,10710,417,11624,11274,350,203,176,27,4,3,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645198853,7,16.18.817.5716,1826,12533,12407,126,13592,13558,34,237,211,26,4,4,0,0,0,0,0,1,-1,4,3,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645198853,8,16.18.817.5716,1826,14568,13697,871,16197,15329,868,277,243,34,5,4,1,0,0,0,0,1,-1,4,3,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645198853,9,16.18.817.5716,1826,17230,15832,1398,18557,17406,1151,304,273,31,8,6,2,0,0,0,0,1,-1,4,3,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645198853,10,16.18.817.5716,1826,19148,17343,1805,21002,19634,1368,341,315,26,8,6,2,0,0,0,0,1,-1,4,3,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645198853,11,16.18.817.5716,1826,20960,18756,2204,23291,21358,1933,375,343,32,9,6,3,0,0,0,0,1,-1,4,3,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645198853,12,16.18.817.5716,1826,22953,20371,2582,25267,23194,2073,391,370,21,12,7,5,0,0,0,0,1,-1,4,3,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645198853,13,16.18.817.5716,1826,24962,22491,2471,28383,25453,2930,436,398,38,12,8,4,0,0,0,1,1,0,3,3,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645198853,14,16.18.817.5716,1826,26325,25160,1165,30660,29534,1126,469,434,35,12,10,2,0,0,0,1,1,0,3,3,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645198853,15,16.18.817.5716,1826,28706,27133,1573,32634,32361,273,497,466,31,12,11,1,1,0,1,1,1,0,3,3,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645198853,16,16.18.817.5716,1826,30410,30129,281,34758,36315,-1557,517,509,8,13,13,0,1,0,1,1,1,0,3,3,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645198853,17,16.18.817.5716,1826,32246,31627,619,38318,38420,-102,569,541,28,13,13,0,1,0,1,1,1,0,3,3,0,0,0,0,1,0,0,0,3,3,2,2,0
NA1_5645198853,18,16.18.817.5716,1826,34195,33948,247,40955,41549,-594,602,586,16,14,14,0,1,0,1,1,2,-1,3,2,0,0,0,0,1,0,0,0,3,3,2,2,0
NA1_5645198853,19,16.18.817.5716,1826,36093,35622,471,43894,43971,-77,628,609,19,15,15,0,2,0,2,1,2,-1,3,2,0,0,0,0,1,0,0,0,3,3,2,2,0
NA1_5645198853,20,16.18.817.5716,1826,38644,37349,1295,47336,46097,1239,669,634,35,16,16,0,3,0,3,1,2,-1,3,2,0,0,0,0,1,0,0,0,3,3,2,2,0
NA1_5645198853,21,16.18.817.5716,1826,40082,39768,314,48362,49001,-639,684,654,30,16,18,-2,3,0,3,1,2,-1,3,2,0,0,0,0,1,0,0,0,3,3,2,2,0
NA1_5645198853,22,16.18.817.5716,1826,41510,42179,-669,50725,52853,-2128,717,712,5,16,19,-3,3,0,3,1,2,-1,3,2,0,0,0,0,1,0,0,0,3,3,2,2,0
NA1_5645198853,23,16.18.817.5716,1826,44246,45211,-965,54243,55314,-1071,750,731,19,18,21,-3,3,2,1,1,2,-1,3,2,0,0,0,0,1,0,0,0,3,3,2,2,0
NA1_5645198853,24,16.18.817.5716,1826,46337,47369,-1032,56577,57760,-1183,762,746,16,20,23,-3,3,2,1,1,2,-1,3,2,0,0,0,0,1,0,0,0,3,3,2,2,0
NA1_5645198853,25,16.18.817.5716,1826,48214,48938,-724,58854,59564,-710,801,773,28,20,23,-3,3,2,1,1,3,-2,3,1,0,0,0,0,1,0,0,0,3,3,2,2,0
NA1_5645198853,26,16.18.817.5716,1826,49689,51327,-1638,60863,62378,-1515,835,816,19,20,24,-4,3,2,1,1,3,-2,3,1,0,0,0,0,1,0,0,0,3,3,2,2,0
NA1_5645198853,27,16.18.817.5716,1826,52400,55710,-3310,63709,69245,-5536,861,837,24,21,27,-6,3,3,0,1,3,-2,3,1,0,0,0,0,1,0,0,1,3,3,2,2,0
NA1_5645198853,28,16.18.817.5716,1826,53989,59939,-5950,64937,73543,-8606,869,865,4,22,31,-9,3,4,-1,1,3,-2,3,1,0,0,0,0,1,0,0,1,3,3,2,2,0
NA1_5645198853,29,16.18.817.5716,1826,55711,62017,-6306,67442,76211,-8769,909,911,-2,22,31,-9,3,5,-2,1,3,-2,3,1,0,0,0,0,1,0,0,1,3,3,2,2,0
NA1_5645198853,30,16.18.817.5716,1826,56581,66122,-9541,68128,81363,-13235,918,945,-27,22,35,-13,3,6,-3,1,4,-3,3,0,0,1,0,0,1,0,0,1,3,3,2,2,0
NA1_5645198853,30,16.18.817.5716,1826,56869,67602,-10733,68248,83125,-14877,918,954,-36,22,36,-14,3,6,-3,1,4,-3,3,0,0,1,0,0,1,0,0,1,2,3,0,2,0
NA1_5643969922,0,16.18.817.5716,1421,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5643969922,1,16.18.817.5716,1421,2505,2500,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5643969922,2,16.18.817.5716,1421,4332,4042,290,2479,2117,362,38,28,10,1,1,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5643969922,3,16.18.817.5716,1421,5885,5517,368,3924,3877,47,61,53,8,2,2,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5643969922,4,16.18.817.5716,1421,7613,7809,-196,6376,6544,-168,105,95,10,2,4,-2,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5643969922,5,16.18.817.5716,1421,9245,9898,-653,8099,8668,-569,134,126,8,3,6,-3,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5643969922,6,16.18.817.5716,1421,11437,12087,-650,10292,10682,-390,173,159,14,5,8,-3,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5643969922,7,16.18.817.5716,1421,13243,13412,-169,12232,12612,-380,203,192,11,6,8,-2,0,0,0,0,1,-1,4,3,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5643969922,8,16.18.817.5716,1421,14742,14757,-15,14736,14521,215,249,223,26,6,8,-2,0,0,0,0,1,-1,4,3,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5643969922,9,16.18.817.5716,1421,16860,16649,211,17448,16917,531,290,257,33,7,9,-2,0,0,0,0,1,-1,4,3,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5643969922,10,16.18.817.5716,1421,18675,18084,591,19711,19275,436,329,294,35,7,9,-2,0,0,0,0,1,-1,4,3,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5643969922,11,16.18.817.5716,1421,20000,20959,-959,21614,22140,-526,362,329,33,7,12,-5,0,0,0,0,1,-1,4,3,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5643969922,12,16.18.817.5716,1421,22445,22905,-460,24483,24815,-332,385,367,18,9,13,-4,0,0,0,0,1,-1,4,3,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5643969922,13,16.18.817.5716,1421,24451,25049,-598,26774,27612,-838,414,397,17,10,14,-4,0,0,0,1,1,0,3,3,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5643969922,14,16.18.817.5716,1421,26353,27608,-1255,29649,29951,-302,449,423,26,11,16,-5,0,0,0,1,1,0,3,3,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5643969922,15,16.18.817.5716,1421,27927,29409,-1482,32207,32752,-545,485,466,19,11,16,-5,0,0,0,1,1,0,3,3,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5643969922,16,16.18.817.5716,1421,31464,30973,491,36189,34761,1428,523,482,41,14,17,-3,1,0,1,1,1,0,3,3,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5643969922,17,16.18.817.5716,1421,33913,34044,-131,39091,39067,24,563,513,50,14,20,-6,2,0,2,1,1,0,3,3,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5643969922,18,16.18.817.5716,1421,35590,36960,-1370,40332,41630,-1298,583,543,40,14,21,-7,3,2,1,1,2,-1,3,2,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5643969922,19,16.18.817.5716,1421,39535,39318,217,44268,43983,285,606,564,42,18,23,-5,4,3,1,1,2,-1,3,2,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5643969922,20,16.18.817.5716,1421,41735,41565,170,47725,47303,422,649,602,47,19,24,-5,4,3,1,1,2,-1,3,2,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5643969922,21,16.18.817.5716,1421,43030,43254,-224,49359,50062,-703,675,648,27,19,24,-5,4,3,1,1,2,-1,3,2,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5643969922,22,16.18.817.5716,1421,44849,47565,-2716,51701,55024,-3323,702,679,23,20,28,-8,4,4,0,1,2,-1,3,2,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5643969922,23,16.18.817.5716,1421,46320,49534,-3214,53539,56788,-3249,735,714,21,20,28,-8,4,5,-1,1,2,-1,3,2,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5643969922,24,16.18.817.5716,1421,46780,53836,-7056,53539,63816,-10277,735,723,12,20,33,-13,4,5,-1,1,2,-1,3,2,0,0,0,0,0,0,0,1,3,3,2,2,0
NA1_5641543556,0,16.18.817.5716,1659,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5641543556,1,16.18.817.5716,1659,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5641543556,2,16.18.817.5716,1659,3998,3783,215,2711,2321,390,49,36,13,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5641543556,3,16.18.817.5716,1659,5564,5785,-221,5076,5097,-21,90,82,8,0,1,-1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5641543556,4,16.18.817.5716,1659,7538,6911,627,6832,6857,-25,113,103,10,2,1,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5641543556,5,16.18.817.5716,1659,9113,8407,706,9484,9242,242,165,147,18,2,1,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5641543556,6,16.18.817.5716,1659,11019,9771,1248,11642,11202,440,201,180,21,3,1,2,0,0,0,0,1,-1,4,3,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5641543556,7,16.18.817.5716,1659,12495,11280,1215,13546,13673,-127,233,220,13,3,1,2,0,0,0,0,1,-1,4,3,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5641543556,8,16.18.817.5716,1659,13857,13171,686,15862,15792,70,270,249,21,3,2,1,0,0,0,0,1,-1,4,3,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5641543556,9,16.18.817.5716,1659,15286,14723,563,17947,18115,-168,303,289,14,3,2,1,0,0,0,0,1,-1,4,3,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5641543556,10,16.18.817.5716,1659,17224,17390,-166,19747,20935,-1188,332,320,12,4,4,0,0,0,0,0,1,-1,4,3,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5641543556,11,16.18.817.5716,1659,19073,18979,94,22092,22953,-861,368,358,10,5,4,1,0,0,0,0,1,-1,4,3,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5641543556,12,16.18.817.5716,1659,20859,21026,-167,24673,25832,-1159,395,406,-11,5,5,0,0,0,0,0,2,-2,4,2,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5641543556,13,16.18.817.5716,1659,23274,23900,-626,27975,29093,-1118,433,437,-4,7,6,1,0,1,-1,0,2,-2,4,2,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5641543556,14,16.18.817.5716,1659,26013,26172,-159,31352,31969,-617,468,467,1,9,8,1,0,1,-1,0,2,-2,4,2,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5641543556,15,16.18.817.5716,1659,28133,28676,-543,34112,34687,-575,504,504,0,10,9,1,0,2,-2,0,2,-2,4,2,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5641543556,16,16.18.817.5716,1659,30568,30375,193,37099,36437,662,541,530,11,12,10,2,0,2,-2,0,2,-2,4,2,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5641543556,17,16.18.817.5716,1659,34405,31971,2434,41070,37904,3166,562,544,18,16,11,5,0,2,-2,0,3,-3,4,1,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5641543556,18,16.18.817.5716,1659,36551,33490,3061,43541,40077,3464,609,581,28,16,11,5,1,2,-1,0,3,-3,4,1,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5641543556,19,16.18.817.5716,1659,38586,36684,1902,46040,44214,1826,641,621,20,17,14,3,1,2,-1,0,3,-3,4,1,0,0,0,0,1,0,0,0,3,3,2,2,1
NA1_5641543556,20,16.18.817.5716,1659,40302,38003,2299,48300,45755,2545,679,649,30,17,14,3,1,2,-1,0,3,-3,4,1,0,0,0,0,1,0,0,0,3,3,2,2,1
NA1_5641543556,21,16.18.817.5716,1659,43407,40209,3198,51749,48392,3357,700,668,32,20,16,4,2,2,0,0,3,-3,4,1,0,0,0,0,1,0,0,0,3,3,2,2,1
NA1_5641543556,22,16.18.817.5716,1659,45929,41134,4795,54110,49060,5050,722,678,44,22,16,6,2,2,0,1,3,-2,3,1,0,0,0,0,1,0,0,0,3,3,2,2,1
NA1_5641543556,23,16.18.817.5716,1659,49988,41994,7994,60339,49993,10346,742,689,53,25,16,9,3,2,1,1,3,-2,3,1,0,0,0,0,1,0,1,0,3,3,2,2,1
NA1_5641543556,24,16.18.817.5716,1659,52140,45036,7104,62971,54376,8595,789,747,42,25,17,8,4,3,1,1,3,-2,3,1,0,0,0,0,1,0,1,0,3,3,2,2,1
NA1_5641543556,25,16.18.817.5716,1659,56318,46252,10066,67114,55764,11350,827,756,71,28,17,11,5,3,2,1,3,-2,3,1,0,0,0,0,1,0,1,0,3,2,2,1,1
NA1_5641543556,26,16.18.817.5716,1659,60389,48840,11549,71281,58957,12324,851,774,77,31,19,12,6,3,3,1,3,-2,3,1,0,0,0,0,1,0,1,0,3,2,2,0,1
